rank,donor_j,donor_label_index,donor_label,donor_original_stl10_test_index,relmeaserr_uij_vs_yi,relmeaserr_xi_vs_yi,relmeaserr_xj_vs_yi,psnr_uij_vs_xi_clipped,uij_min,uij_max,clip_penalty_mean,range_penalty,quality_match_score,image
61,1229,1,bird,7388,2.4350363365539985e-15,0.005359381186274673,0.7047949732911332,10.551699250441802,0.01800881726245039,0.8075761748178819,0.0,0.0,0.591778429213711,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank061_u_i1789_j1229_bird_clipped.png
62,1096,4,deer,5314,2.034079656839703e-15,0.005359381186274673,0.6861877519493936,10.548413724887968,0.03399039373103496,0.8304335687341772,0.0,0.0,0.5927192041928118,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank062_u_i1789_j1096_deer_clipped.png
63,54,5,dog,1677,2.7345484531154177e-15,0.005359381186274673,0.7930579046447498,9.34867993275716,-0.01124534168934671,1.017590656559006,7.589283066224538e-06,0.028835998248352757,0.5930494200748295,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank063_u_i1789_j54_dog_clipped.png
64,676,4,deer,6079,2.2872031787377133e-15,0.005359381186274673,0.7567636460609528,9.806696522484662,-0.017967301859105132,0.981200010862809,1.3945678077187367e-05,0.017967301859105132,0.5952619017872541,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank064_u_i1789_j676_deer_clipped.png
65,850,4,deer,5574,2.1052969871201894e-15,0.005359381186274673,0.7207043250483393,9.914777007212088,-0.015373276487261611,0.9664389939967006,3.7532413298978543e-06,0.015373276487261611,0.5967789727403976,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank065_u_i1789_j850_deer_clipped.png
66,1924,4,deer,3325,2.1751705220635068e-15,0.005359381186274673,0.7061669865121077,10.58633744611764,0.006693436247846629,0.8369502345936617,0.0,0.0,0.6013399226808481,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank066_u_i1789_j1924_deer_clipped.png
67,590,7,monkey,2714,2.2410312637891472e-15,0.005359381186274673,0.7234789944653484,10.620975850269105,0.0373683631393652,0.9611541158745315,0.0,0.0,0.6093074750479344,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank067_u_i1789_j590_monkey_clipped.png
68,395,3,cat,590,2.2301125319702355e-15,0.005359381186274673,0.7847901735997332,9.579330572845418,-0.024946259696633555,0.9197537696835644,6.46843460574517e-06,0.024946259696633555,0.6116470079681557,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank068_u_i1789_j395_cat_clipped.png
69,1892,3,cat,2727,2.1301845353582365e-15,0.005359381186274673,0.7580686439538564,9.891065884104725,-0.017486783449989884,0.8746080171033653,4.94064901947288e-06,0.017486783449989884,0.6119079988552725,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank069_u_i1789_j1892_cat_clipped.png
70,1984,4,deer,783,2.159259624265953e-15,0.005359381186274673,0.680015040442703,10.6337776179556,0.03650379752644051,0.9132243710755079,0.0,0.0,0.6172383654024176,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank070_u_i1789_j1984_deer_clipped.png
71,1128,4,deer,7010,2.2278083133207515e-15,0.005359381186274673,0.7337634918036732,10.65572396640002,0.03905778944037086,0.9853434208792252,0.0,0.0,0.6180084978307582,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank071_u_i1789_j1128_deer_clipped.png
72,397,6,horse,1546,2.333448247078773e-15,0.005359381186274673,0.7773712701438903,9.62411156715347,-0.024575493727282793,0.9374113931922617,2.956858887908569e-05,0.024575493727282793,0.6232504036005863,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank072_u_i1789_j397_horse_clipped.png
73,848,4,deer,4199,2.183938388142782e-15,0.005359381186274673,0.6995038484474351,10.685699458143008,0.12368538177479566,0.9484192091282578,0.0,0.0,0.6298275998544186,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank073_u_i1789_j848_deer_clipped.png
74,1508,6,horse,2264,2.247652286283391e-15,0.005359381186274673,0.7821469806527042,9.974449894832533,0.05144740494218461,1.0174420844125027,4.258321389771173e-06,0.017442084412502723,0.6322294204237641,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank074_u_i1789_j1508_horse_clipped.png
75,293,6,horse,5902,2.245744741053258e-15,0.005359381186274673,0.6752640732232544,10.66610293577462,-0.0011002363795859088,0.910351719578139,2.68612397359841e-07,0.0011002363795859088,0.6399996211564024,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank075_u_i1789_j293_horse_clipped.png
76,1488,5,dog,2557,1.9218634489578846e-15,0.005359381186274673,0.6710309314847368,10.728194848956036,0.026928290806475963,0.8951277861148658,0.0,0.0,0.6445736009783365,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank076_u_i1789_j1488_dog_clipped.png
77,1982,1,bird,281,2.385844813377037e-15,0.005359381186274673,0.6886708547453282,10.73553207259164,0.0119901500216264,0.9237388338313188,0.0,0.0,0.6448640312702464,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank077_u_i1789_j1982_bird_clipped.png
78,513,1,bird,5643,1.9111514810486265e-15,0.005359381186274673,0.6820327459737552,10.555807999872048,-0.004287389260457047,0.8853087285280317,1.0467258936662713e-06,0.004287389260457047,0.6467793800186423,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank078_u_i1789_j513_bird_clipped.png
79,436,1,bird,304,2.4592320501830445e-15,0.005359381186274673,0.7825057985639144,9.745250947475729,0.16358198428800735,1.0240538754171713,5.872528178020337e-06,0.0240538754171713,0.6475530302433505,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank079_u_i1789_j436_bird_clipped.png
80,1150,0,airplane,4533,2.338468978093148e-15,0.005359381186274673,0.8616108748866117,9.0383959975453,-0.02447599991949606,1.0171475803892809,1.9465749265212934e-05,0.04162358030877694,0.6541907818602913,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank080_u_i1789_j1150_airplane_clipped.png
81,1634,4,deer,6113,2.266546829146095e-15,0.005359381186274673,0.6748321121299597,10.769382163363057,0.006665074331037801,0.8367286013904824,0.0,0.0,0.6557259309477799,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank081_u_i1789_j1634_deer_clipped.png
82,637,4,deer,128,2.621939177592683e-15,0.005359381186274673,0.807467283885493,9.28267971526645,-0.03595154587318175,0.9924521892879012,1.6736671574644938e-05,0.03595154587318175,0.6596126793723152,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank082_u_i1789_j637_deer_clipped.png
83,1946,6,horse,4295,2.157765345256578e-15,0.005359381186274673,0.6914100976060479,10.292527959570775,0.03983848876750637,1.0117525627736361,2.8692780209072562e-06,0.011752562773636122,0.6619240219844743,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank083_u_i1789_j1946_horse_clipped.png
84,701,6,horse,6816,2.2716782264901324e-15,0.005359381186274673,0.7413849066990287,10.335464803468588,0.041283351111945005,1.0111854360467636,2.730819347354391e-06,0.011185436046763586,0.6621267216032671,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank084_u_i1789_j701_horse_clipped.png
85,1940,5,dog,7410,2.5419890077205433e-15,0.005359381186274673,0.821027570975026,9.631911392492567,-0.013699291741188252,1.0144714043082437,1.369399315076688e-05,0.028170696049431926,0.6623062009908113,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank085_u_i1789_j1940_dog_clipped.png
86,1966,5,dog,162,2.021609809297461e-15,0.005359381186274673,0.6791441794832219,10.573848417684868,0.09577322172491026,1.0052754279514888,1.287946277218953e-06,0.005275427951488831,0.664004964393693,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank086_u_i1789_j1966_dog_clipped.png
87,1094,0,airplane,5433,2.1813644339391903e-15,0.005359381186274673,0.7046154332474248,10.80996829564227,0.04521185853870835,0.970736729893167,0.0,0.0,0.6641117158742129,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank087_u_i1789_j1094_airplane_clipped.png
88,1662,5,dog,623,2.526720635592481e-15,0.005359381186274673,0.7913756217379452,9.748455741031103,-0.026129200264071673,0.9329087418809019,8.750616458043963e-06,0.026129200264071673,0.6728126588778596,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank088_u_i1789_j1662_dog_clipped.png
89,1285,7,monkey,370,2.215915778875992e-15,0.005359381186274673,0.6874902710836561,10.843755351334575,0.021282190093876024,0.8729792889514867,0.0,0.0,0.6752846076844354,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank089_u_i1789_j1285_monkey_clipped.png
90,1802,6,horse,236,2.7401017939110917e-15,0.005359381186274673,0.950196039586794,8.310431395619142,-0.051151409409827986,0.9496505819692257,1.8937896946872127e-05,0.051151409409827986,0.6764061373177601,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank090_u_i1789_j1802_horse_clipped.png
91,745,4,deer,3359,1.8035637898561786e-15,0.005359381186274673,0.6317798758058363,10.843693380372471,0.001015470450056788,0.9170967902656559,0.0,0.0,0.6808382953428284,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank091_u_i1789_j745_deer_clipped.png
92,1813,7,monkey,1809,2.0697150393348563e-15,0.005359381186274673,0.6809248348285355,10.54173368746035,-0.007654446109035512,0.8800998604756001,1.868761257088748e-06,0.007654446109035512,0.6834526900844413,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank092_u_i1789_j1813_monkey_clipped.png
93,220,1,bird,5856,2.2248050690034e-15,0.005359381186274673,0.6715296430313404,10.881420114744413,0.001450307875615009,0.7709658240883069,0.0,0.0,0.6874268042444217,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank093_u_i1789_j220_bird_clipped.png
94,545,6,horse,7795,2.199038223586856e-15,0.005359381186274673,0.6773888616403774,10.913647062177379,0.07048506897905725,0.8140223025642855,0.0,0.0,0.6958644276647483,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank094_u_i1789_j545_horse_clipped.png
95,910,7,monkey,3982,2.4288769822938335e-15,0.005359381186274673,0.7609073981332951,10.809566218393545,0.016323386398560707,1.0033221462661517,8.11070865759688e-07,0.003322146266151682,0.6983330214536945,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank095_u_i1789_j910_monkey_clipped.png
96,824,1,bird,4708,2.147734356230327e-15,0.005359381186274673,0.6843481601293534,10.941837905039264,0.08783032069001406,0.7776947011480715,0.0,0.0,0.7030619338171786,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank096_u_i1789_j824_bird_clipped.png
97,1104,5,dog,3081,2.9023862127007632e-15,0.005359381186274673,0.9986231111438681,7.948869830117299,-0.009193361072769857,1.0357519323137452,2.773331916926029e-05,0.04494529338651504,0.7090681412009151,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank097_u_i1789_j1104_dog_clipped.png
98,1437,1,bird,5718,2.0607821477275342e-15,0.005359381186274673,0.6889337722246696,10.459002178961113,0.021205653446709216,1.0117861839110949,2.8774863064196464e-06,0.011786183911094872,0.7091888745956733,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank098_u_i1789_j1437_bird_clipped.png
99,1582,4,deer,4642,2.166915948226988e-15,0.005359381186274673,0.6612956323947181,10.970511928958945,0.04158172843279226,0.8476439136251808,0.0,0.0,0.7133959132881529,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank099_u_i1789_j1582_deer_clipped.png
100,236,4,deer,5873,2.118079287086203e-15,0.005359381186274673,0.7060383602590671,10.441377537907426,-0.007430387952576986,1.0060297233739792,4.072601457084096e-06,0.01346011132655621,0.7227740591008172,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank100_u_i1789_j236_deer_clipped.png
101,1207,3,cat,1204,2.479205489294538e-15,0.005359381186274673,0.7896968238890946,10.271391405245824,-0.018091774812202532,0.9915389819277836,1.0437287171173467e-05,0.018091774812202532,0.7231558197060124,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank101_u_i1789_j1207_cat_clipped.png
102,1146,4,deer,6123,2.2745049769213043e-15,0.005359381186274673,0.6746013481172368,11.02559324374361,0.05449037883600985,0.9165427127397734,0.0,0.0,0.7274881098556073,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank102_u_i1789_j1146_deer_clipped.png
103,1175,5,dog,3392,2.5654284885021324e-15,0.005359381186274673,0.8234061565052649,9.63672553022118,-0.033505577442052153,0.9322228790951641,1.959814469237618e-05,0.033505577442052153,0.7281433758982346,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank103_u_i1789_j1175_dog_clipped.png
104,1812,5,dog,2,3.0457008728965198e-15,0.005359381186274673,0.9869339793730612,7.986811209864904,0.03153342376582369,1.0480225463481745,1.1724254479534787e-05,0.04802254634817449,0.7322815894716512,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank104_u_i1789_j1812_dog_clipped.png
105,778,4,deer,5163,2.4411324177793465e-15,0.005359381186274673,0.8522305965882228,9.257307488040382,-0.04384106508539698,0.9884733377846054,1.0703385030614497e-05,0.04384106508539698,0.7419823606400422,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank105_u_i1789_j778_deer_clipped.png
106,452,0,airplane,1260,2.4120739057496465e-15,0.005359381186274673,0.7536717590245244,10.229410190785039,-0.021403140471607573,0.9418451684675947,1.0722007672023647e-05,0.021403140471607573,0.7547741405164121,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank106_u_i1789_j452_airplane_clipped.png
107,1374,3,cat,5502,1.956313267228238e-15,0.005359381186274673,0.6276987948181213,11.138776483438104,0.044321003653422786,0.7164235035572728,0.0,0.0,0.7638696722999768,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank107_u_i1789_j1374_cat_clipped.png
108,764,1,bird,5172,2.1393944194943936e-15,0.005359381186274673,0.7391810804096999,10.08730071831712,-0.025984359490574482,0.9063399032191481,1.1809673918897e-05,0.025984359490574482,0.7715377042641051,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank108_u_i1789_j764_bird_clipped.png
109,967,7,monkey,1879,2.5119999349741086e-15,0.005359381186274673,0.7956481143166498,9.974074059628569,-0.0292104733152512,0.9872161092355406,7.449166221223854e-06,0.0292104733152512,0.7723776414130155,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank109_u_i1789_j967_monkey_clipped.png
110,870,3,cat,2222,1.8468167034305148e-15,0.005359381186274673,0.6190699465873286,11.200098491421663,0.01167597487050609,0.7482513947996717,0.0,0.0,0.7819027193584528,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank110_u_i1789_j870_cat_clipped.png
111,1792,0,airplane,1028,2.6158608107063564e-15,0.005359381186274673,0.8603838044297711,8.659400815044894,0.0036955478821401044,1.0609194384827367,4.999764403775393e-05,0.06091943848273673,0.7834089632660843,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank111_u_i1789_j1792_airplane_clipped.png
112,150,1,bird,4988,2.348096441995057e-15,0.005359381186274673,0.7230254836327847,10.120879006791142,-0.026441072355139594,0.9614265645915769,6.4553399304540025e-06,0.026441072355139594,0.7873932190106909,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank112_u_i1789_j150_bird_clipped.png
113,1161,5,dog,7130,2.4393218711656812e-15,0.005359381186274673,0.8469450879098591,9.102446938287864,-0.05120312742265412,0.9680707092809671,1.2500763530921416e-05,0.05120312742265412,0.787710391044296,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank113_u_i1789_j1161_dog_clipped.png
114,320,0,airplane,2479,2.5453229800550356e-15,0.005359381186274673,0.8111963613417168,9.189549835501252,-0.0488862699022003,0.9984566204609072,1.193512448784187e-05,0.0488862699022003,0.7878039079902434,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank114_u_i1789_j320_airplane_clipped.png
115,768,5,dog,2030,2.1840592681836178e-15,0.005359381186274673,0.7626714444740361,9.555020972995138,-0.029699068966683256,1.01039961049747,1.2694947301688078e-05,0.040098679464153214,0.7896284116563961,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank115_u_i1789_j768_dog_clipped.png
116,32,3,cat,2069,2.076544030117395e-15,0.005359381186274673,0.7349848426893367,9.6109221758873,-0.03863025249054894,0.9334026791596166,3.037006066185858e-05,0.03863025249054894,0.7925492985646404,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank116_u_i1789_j32_cat_clipped.png
117,1213,1,bird,1412,2.4690797963411664e-15,0.005359381186274673,0.7522591422274029,10.272868554422667,-0.023611652713901754,0.828827885082839,1.0964065292473555e-05,0.023611652713901754,0.7936149378366443,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank117_u_i1789_j1213_bird_clipped.png
118,567,5,dog,1552,1.786087554078787e-15,0.005359381186274673,0.6235477942806473,11.211698145657941,-0.0017426627746638668,0.9099339453491437,4.254547789706706e-07,0.0017426627746638668,0.8056658456447215,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank118_u_i1789_j567_dog_clipped.png
119,1308,5,dog,7343,2.21523987556871e-15,0.005359381186274673,0.6677405712754686,10.073949309118861,-0.028588570403359048,0.9831976009425026,1.011803857893997e-05,0.028588570403359048,0.8059908953146355,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank119_u_i1789_j1308_dog_clipped.png
120,1276,4,deer,1223,2.2778051169530953e-15,0.005359381186274673,0.7047511697271579,10.599347726718936,-0.017717174802936886,0.9120544167734024,6.447706597607242e-06,0.017717174802936886,0.8185042053546616,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank120_u_i1789_j1276_deer_clipped.png
