index,A_x_i,A_u_ij,y_i
1.000000000000000000e+00,-4.541167077113971162e-01,-4.699588418006941937e-01,-4.699588418006896973e-01
2.000000000000000000e+00,-7.351321527407919110e-01,-7.489923834800698010e-01,-7.489923834800720215e-01
3.000000000000000000e+00,-3.699763486831493253e+00,-3.693795204162607426e+00,-3.693795204162597656e+00
4.000000000000000000e+00,-2.304546205427222993e+00,-2.292077302932744143e+00,-2.292077302932739258e+00
5.000000000000000000e+00,2.320979826387093325e+00,2.323580980300901544e+00,2.323580980300903320e+00
6.000000000000000000e+00,2.803033690380731358e+00,2.802697181701660156e+00,2.802697181701660156e+00
7.000000000000000000e+00,6.162620555706717074e-01,6.134484410285829803e-01,6.134484410285949707e-01
8.000000000000000000e+00,-1.496558176552683417e+00,-1.492935299873353827e+00,-1.492935299873352051e+00
9.000000000000000000e+00,3.303164270740056585e-01,3.332459628582048472e-01,3.332459628582000732e-01
1.000000000000000000e+01,-3.292208935610749343e+00,-3.267488479614248043e+00,-3.267488479614257812e+00
1.100000000000000000e+01,-2.930668321563938417e-01,-2.935967743396763474e-01,-2.935967743396759033e-01
1.200000000000000000e+01,5.817513655636052938e-01,5.699341297149704832e-01,5.699341297149658203e-01
1.300000000000000000e+01,3.365612497680819715e+00,3.385989665985105646e+00,3.385989665985107422e+00
1.400000000000000000e+01,3.573224323399316837e+00,3.574248075485227716e+00,3.574248075485229492e+00
1.500000000000000000e+01,-3.888202739976263533e+00,-3.885690689086917615e+00,-3.885690689086914062e+00
1.600000000000000000e+01,-1.495462599263541303e+00,-1.484272837638856091e+00,-1.484272837638854980e+00
1.700000000000000000e+01,1.737585080384410396e+00,1.736534953117369051e+00,1.736534953117370605e+00
1.800000000000000000e+01,-1.577630890355765203e+00,-1.588787436485282090e+00,-1.588787436485290527e+00
1.900000000000000000e+01,1.924928762094210155e+00,1.931231260299684838e+00,1.931231260299682617e+00
2.000000000000000000e+01,1.774834905306065247e-01,1.564054638147264753e-01,1.564054638147354126e-01
2.100000000000000000e+01,1.833995799350745859e+00,1.821135759353635697e+00,1.821135759353637695e+00
2.200000000000000000e+01,-1.891513615942455484e+00,-1.901841998100276987e+00,-1.901841998100280762e+00
2.300000000000000000e+01,7.066473495500447122e-02,6.498940289020560535e-02,6.498940289020538330e-02
2.400000000000000000e+01,-2.500106718822080687e+00,-2.503605604171756482e+00,-2.503605604171752930e+00
2.500000000000000000e+01,4.198251025383238577e+00,4.215876579284668857e+00,4.215876579284667969e+00
2.600000000000000000e+01,5.987328541994235698e-01,6.049820780754036065e-01,6.049820780754089355e-01
2.700000000000000000e+01,-2.314406392183257388e+00,-2.317583322525021750e+00,-2.317583322525024414e+00
2.800000000000000000e+01,-2.096934377887431200e+00,-2.108813524246228699e+00,-2.108813524246215820e+00
2.900000000000000000e+01,-1.495462947001543474e-01,-1.557359397411353652e-01,-1.557359397411346436e-01
3.000000000000000000e+01,4.519255756391484802e-01,4.562200903892505988e-01,4.562200903892517090e-01
3.100000000000000000e+01,-2.077761779815501697e+00,-2.058534860610957473e+00,-2.058534860610961914e+00
3.200000000000000000e+01,-1.345916309767087871e+00,-1.346082687377928355e+00,-1.346082687377929688e+00
3.300000000000000000e+01,1.346464135813346674e+00,1.353669762611387828e+00,1.353669762611389160e+00
3.400000000000000000e+01,-1.476837815399422826e+00,-1.475524306297310018e+00,-1.475524306297302246e+00
3.500000000000000000e+01,2.388357770932900415e-01,2.327306121587777721e-01,2.327306121587753296e-01
3.600000000000000000e+01,-2.012027093811829648e+00,-2.002335071563722924e+00,-2.002335071563720703e+00
3.700000000000000000e+01,2.024626256769257449e+00,2.026711225509649772e+00,2.026711225509643555e+00
3.800000000000000000e+01,-2.903280707381539205e-02,-1.639205962418088802e-02,-1.639205962419509888e-02
3.900000000000000000e+01,-1.226498413089641915e+00,-1.235867261886592239e+00,-1.235867261886596680e+00
4.000000000000000000e+01,-3.341509878497392894e-01,-3.231788575649252593e-01,-3.231788575649261475e-01
4.100000000000000000e+01,2.154452095348421636e+00,2.137804031372062319e+00,2.137804031372070312e+00
4.200000000000000000e+01,2.309476289373518121e+00,2.324409484863283915e+00,2.324409484863281250e+00
4.300000000000000000e+01,1.583109530819272193e-01,1.627343147993041139e-01,1.627343147993087769e-01
4.400000000000000000e+01,-2.530235059603967773e+00,-2.538474798202505767e+00,-2.538474798202514648e+00
4.500000000000000000e+01,4.551026799568844261e+00,4.558894157409670633e+00,4.558894157409667969e+00
4.600000000000000000e+01,3.220996530200460617e-01,3.205432295799288678e-01,3.205432295799255371e-01
4.700000000000000000e+01,-3.177173149828517174e-01,-3.146815598011065696e-01,-3.146815598011016846e-01
4.800000000000000000e+01,-6.683019132549515851e-01,-6.814696788787892867e-01,-6.814696788787841797e-01
4.900000000000000000e+01,-3.315763722503441979e+00,-3.308205842971805755e+00,-3.308205842971801758e+00
5.000000000000000000e+01,-1.543667969414304064e+00,-1.537483334541320135e+00,-1.537483334541320801e+00
5.100000000000000000e+01,2.143496388283880005e+00,2.150162220001219371e+00,2.150162220001220703e+00
5.200000000000000000e+01,-9.652033685015241060e-01,-9.625359177589429827e-01,-9.625359177589416504e-01
5.300000000000000000e+01,-2.869863928825846067e+00,-2.876505136489864611e+00,-2.876505136489868164e+00
5.400000000000000000e+01,2.492985447384016950e+00,2.509872198104861951e+00,2.509872198104858398e+00
5.500000000000000000e+01,-2.039416545554491922e+00,-2.022254943847664244e+00,-2.022254943847656250e+00
5.600000000000000000e+01,-1.516826332790110143e+00,-1.512974619865422143e+00,-1.512974619865417480e+00
5.700000000000000000e+01,-2.070640462194503151e+00,-2.071659803390507371e+00,-2.071659803390502930e+00
5.800000000000000000e+01,-2.914235014127684043e-01,-2.757009565830190745e-01,-2.757009565830230713e-01
5.900000000000000000e+01,2.382879965795134947e-01,2.416376769542754044e-01,2.416376769542694092e-01
6.000000000000000000e+01,-1.377140264134006920e+00,-1.366403579711903848e+00,-1.366403579711914062e+00
6.100000000000000000e+01,-2.600351944055278253e+00,-2.595593452453622163e+00,-2.595593452453613281e+00
6.200000000000000000e+01,3.385332909310078353e+00,3.377904891967780987e+00,3.377904891967773438e+00
6.300000000000000000e+01,-2.651295922244873982e-01,-2.583172917366011179e-01,-2.583172917366027832e-01
6.400000000000000000e+01,-8.353774223356292827e-01,-8.374422788620037306e-01,-8.374422788619995117e-01
6.500000000000000000e+01,-1.276894985953046957e+00,-1.262830018997193937e+00,-1.262830018997192383e+00
6.600000000000000000e+01,1.309214757109924410e-01,1.307176202535416110e-01,1.307176202535629272e-01
6.700000000000000000e+01,-2.290303697936324490e+00,-2.280150651931760031e+00,-2.280150651931762695e+00
6.800000000000000000e+01,1.715673558018124156e+00,1.728342533111588253e+00,1.728342533111572266e+00
6.900000000000000000e+01,-8.167526248117796817e-01,-8.261926770210319404e-01,-8.261926770210266113e-01
7.000000000000000000e+01,1.039154758048866700e+00,1.027966022491449083e+00,1.027966022491455078e+00
7.100000000000000000e+01,-6.398169703445710788e-01,-6.536835432052592321e-01,-6.536835432052612305e-01
7.200000000000000000e+01,1.374949239648507460e-01,1.299851834774081727e-01,1.299851834774017334e-01
7.300000000000000000e+01,-1.294424201634493565e+00,-1.301954627037053891e+00,-1.301954627037048340e+00
7.400000000000000000e+01,2.409721567814657739e+00,2.412293195724486861e+00,2.412293195724487305e+00
7.500000000000000000e+01,1.330578271560264980e+00,1.323589205741890096e+00,1.323589205741882324e+00
7.600000000000000000e+01,3.067615544241509618e+00,3.070054769515990323e+00,3.070054769515991211e+00
7.700000000000000000e+01,4.320955603842397075e+00,4.338216781616223372e+00,4.338216781616210938e+00
7.800000000000000000e+01,2.060232520422870195e+00,2.066910266876228697e+00,2.066910266876220703e+00
7.900000000000000000e+01,3.300973522311407393e+00,3.301793575286860349e+00,3.301793575286865234e+00
8.000000000000000000e+01,-3.242907733839421880e-01,-3.420313596725400584e-01,-3.420313596725463867e-01
8.100000000000000000e+01,-7.055515624212497228e-01,-7.055640220642018789e-01,-7.055640220642089844e-01
8.200000000000000000e+01,1.779217082548583129e+00,1.788954257965081007e+00,1.788954257965087891e+00
8.300000000000000000e+01,-1.183223658314148663e-01,-1.287437975406626467e-01,-1.287437975406646729e-01
8.400000000000000000e+01,2.344535150302805571e-01,2.245028614997857108e-01,2.245028614997863770e-01
8.500000000000000000e+01,-9.252147432639276081e-01,-9.161719679832538432e-01,-9.161719679832458496e-01
8.600000000000000000e+01,-4.426130832754648914e-01,-4.365279376506843168e-01,-4.365279376506805420e-01
8.700000000000000000e+01,-4.417914148204518554e+00,-4.406694412231447089e+00,-4.406694412231445312e+00
8.800000000000000000e+01,-3.829041437180048524e-01,-3.861546218395255359e-01,-3.861546218395233154e-01
8.900000000000000000e+01,2.786600109879718623e+00,2.786343812942502218e+00,2.786343812942504883e+00
9.000000000000000000e+01,4.782193784115315038e-01,4.737374484539023101e-01,4.737374484539031982e-01
9.100000000000000000e+01,-2.401504702305481853e+00,-2.407742023468019799e+00,-2.407742023468017578e+00
9.200000000000000000e+01,-1.820848948505598974e+00,-1.813718795776364079e+00,-1.813718795776367188e+00
9.300000000000000000e+01,1.684997427746058429e+00,1.693360090255737305e+00,1.693360090255737305e+00
9.400000000000000000e+01,2.561458991855113609e+00,2.541445732116703216e+00,2.541445732116699219e+00
9.500000000000000000e+01,7.548525421241867317e-01,7.636364102363624173e-01,7.636364102363586426e-01
9.600000000000000000e+01,-1.097220346828414961e+00,-1.099871635437013717e+00,-1.099871635437011719e+00
9.700000000000000000e+01,8.715314748289573199e-01,8.699407577514721712e-01,8.699407577514648438e-01
9.800000000000000000e+01,2.429442008584704826e+00,2.436612129211428002e+00,2.436612129211425781e+00
9.900000000000000000e+01,1.227594001436678628e+00,1.226961612701416460e+00,1.226961612701416016e+00
1.000000000000000000e+02,1.632409695881193112e+00,1.614580035209652209e+00,1.614580035209655762e+00
1.010000000000000000e+02,-1.177744545743953930e-01,-1.189064010977810004e-01,-1.189064010977745056e-01
1.020000000000000000e+02,-1.513539633836128218e+00,-1.522934198379510606e+00,-1.522934198379516602e+00
1.030000000000000000e+02,7.559478533736352368e-02,9.039840102195983995e-02,9.039840102195739746e-02
1.040000000000000000e+02,-1.254435559614940354e-01,-1.155136600136728586e-01,-1.155136600136756897e-01
1.050000000000000000e+02,1.453830648355917798e+00,1.456756591796870781e+00,1.456756591796875000e+00
1.060000000000000000e+02,1.424250119179981677e+00,1.418902873992925251e+00,1.418902873992919922e+00
1.070000000000000000e+02,2.340700261823327910e+00,2.332952976226802200e+00,2.332952976226806641e+00
1.080000000000000000e+02,-2.525305199417262614e-01,-2.425572276115426362e-01,-2.425572276115417480e-01
1.090000000000000000e+02,-1.081882286505810864e+00,-1.074106693267814272e+00,-1.074106693267822266e+00
1.100000000000000000e+02,2.452449143495289530e+00,2.457720518112183949e+00,2.457720518112182617e+00
1.110000000000000000e+02,-2.751541583418990022e+00,-2.753493070602427650e+00,-2.753493070602416992e+00
1.120000000000000000e+02,3.653749275161819465e-01,3.506104350090116228e-01,3.506104350090026855e-01
1.130000000000000000e+02,7.066472051470651383e-02,7.201527804136298450e-02,7.201527804136276245e-02
1.140000000000000000e+02,-6.431036705994689351e-01,-6.321845650672952566e-01,-6.321845650672912598e-01
1.150000000000000000e+02,-4.573486088659081794e+00,-4.587786674499520601e+00,-4.587786674499511719e+00
1.160000000000000000e+02,7.219852151237641236e-01,7.212090492248524054e-01,7.212090492248535156e-01
1.170000000000000000e+02,8.928952692389551249e-01,8.789627552032466262e-01,8.789627552032470703e-01
1.180000000000000000e+02,2.127062708912343947e+00,2.119112491607660242e+00,2.119112491607666016e+00
1.190000000000000000e+02,-1.320170286207552168e+00,-1.324702739715573507e+00,-1.324702739715576172e+00
1.200000000000000000e+02,2.251410626050807107e-01,2.253007292747448709e-01,2.253007292747497559e-01
1.210000000000000000e+02,1.084073474778145751e+00,1.088320374488833453e+00,1.088320374488830566e+00
1.220000000000000000e+02,-1.304832232909960865e+00,-1.289561271667479136e+00,-1.289561271667480469e+00
1.230000000000000000e+02,-1.013408780932451903e+00,-1.000518083572383254e+00,-1.000518083572387695e+00
1.240000000000000000e+02,3.353013424877695492e+00,3.355322837829604055e+00,3.355322837829589844e+00
1.250000000000000000e+02,3.483935022355532096e-01,3.764168322086456353e-01,3.764168322086334229e-01
1.260000000000000000e+02,8.633147175569688692e-01,8.379030227661110608e-01,8.379030227661132812e-01
1.270000000000000000e+02,-1.273060469408854978e+00,-1.274342656135541985e+00,-1.274342656135559082e+00
1.280000000000000000e+02,-1.260461262089783041e+00,-1.255957126617433639e+00,-1.255957126617431641e+00
1.290000000000000000e+02,1.080786672790682967e+00,1.062527418136597346e+00,1.062527418136596680e+00
1.300000000000000000e+02,-1.668563762944920814e+00,-1.672039747238152518e+00,-1.672039747238159180e+00
1.310000000000000000e+02,2.914235133813021239e-01,2.963166534900619209e-01,2.963166534900665283e-01
1.320000000000000000e+02,2.941624599215416636e-01,2.870760560035673370e-01,2.870760560035705566e-01
1.330000000000000000e+02,-1.649938986105822014e+00,-1.655962586402897507e+00,-1.655962586402893066e+00
1.340000000000000000e+02,-8.200393033411826904e-01,-8.301565647125243030e-01,-8.301565647125244141e-01
1.350000000000000000e+02,1.279086150028118762e+00,1.284095168113700947e+00,1.284095168113708496e+00
1.360000000000000000e+02,1.462595244553377416e-01,1.576693803072010680e-01,1.576693803071975708e-01
1.370000000000000000e+02,-1.287302969484458437e+00,-1.291571021080018866e+00,-1.291571021080017090e+00
1.380000000000000000e+02,-2.127610500093730206e+00,-2.127069950103761986e+00,-2.127069950103759766e+00
1.390000000000000000e+02,1.631861930718374598e+00,1.649331212043761763e+00,1.649331212043762207e+00
1.400000000000000000e+02,-1.708552354488492631e+00,-1.693390250205991432e+00,-1.693390250205993652e+00
1.410000000000000000e+02,-2.755923871110274259e+00,-2.774295568466181638e+00,-2.774295568466186523e+00
1.420000000000000000e+02,-1.572153047100813827e+00,-1.570809364318846990e+00,-1.570809364318847656e+00
1.430000000000000000e+02,-1.016147641611458763e+00,-1.032139301300043277e+00,-1.032139301300048828e+00
1.440000000000000000e+02,-2.355495159015241757e-02,-3.937086090442853958e-03,-3.937086090445518494e-03
1.450000000000000000e+02,1.640078769428445327e+00,1.625842928886416239e+00,1.625842928886413574e+00
1.460000000000000000e+02,-2.249219564618936573e+00,-2.240309715271002755e+00,-2.240309715270996094e+00
1.470000000000000000e+02,-1.018886555238225133e+00,-1.035958170890811880e+00,-1.035958170890808105e+00
1.480000000000000000e+02,-6.403647319948875261e-01,-6.444437503814721691e-01,-6.444437503814697266e-01
1.490000000000000000e+02,2.788243446997880071e-01,3.024537563323942968e-01,3.024537563323974609e-01
1.500000000000000000e+02,1.095569535619542179e-02,2.607197500769209420e-03,2.607197500765323639e-03
1.510000000000000000e+02,1.118036361245004606e+00,1.103206515312187941e+00,1.103206515312194824e+00
1.520000000000000000e+02,-2.636505959342069438e+00,-2.623003721237181729e+00,-2.623003721237182617e+00
1.530000000000000000e+02,-2.651296260095830526e+00,-2.663577795028686968e+00,-2.663577795028686523e+00
1.540000000000000000e+02,1.713482400317599019e+00,1.705130934715268998e+00,1.705130934715270996e+00
1.550000000000000000e+02,2.702240687755989690e+00,2.707821607589723456e+00,2.707821607589721680e+00
1.560000000000000000e+02,-9.586300623089905049e-02,-1.003877818584451020e-01,-1.003877818584442139e-01
1.570000000000000000e+02,-4.269463478017192948e+00,-4.281366825103757989e+00,-4.281366825103759766e+00
1.580000000000000000e+02,1.878914125281265779e-01,1.899366974830563048e-01,1.899366974830627441e-01
1.590000000000000000e+02,8.627668792819974675e-01,8.514993190765408615e-01,8.514993190765380859e-01
1.600000000000000000e+02,1.901921658796176029e+00,1.912213802337647151e+00,1.912213802337646484e+00
1.610000000000000000e+02,1.714577978517399348e+00,1.712227940559382988e+00,1.712227940559387207e+00
1.620000000000000000e+02,-2.353299337878780317e+00,-2.348167657852172852e+00,-2.348167657852172852e+00
1.630000000000000000e+02,-5.565531342262032277e-01,-5.613512396812394556e-01,-5.613512396812438965e-01
1.640000000000000000e+02,4.984327500799321520e+00,4.972463130950931287e+00,4.972463130950927734e+00
1.650000000000000000e+02,1.452735044527845520e+00,1.457027077674867499e+00,1.457027077674865723e+00
1.660000000000000000e+02,-1.807702053689092203e+00,-1.799454092979433595e+00,-1.799454092979431152e+00
1.670000000000000000e+02,3.518993293314038873e+00,3.508549213409418943e+00,3.508549213409423828e+00
1.680000000000000000e+02,3.521732227885736144e+00,3.531798601150522909e+00,3.531798601150512695e+00
1.690000000000000000e+02,-2.101316644113402354e+00,-2.099158048629758078e+00,-2.099158048629760742e+00
1.700000000000000000e+02,-8.841306003196642838e-01,-8.893446326255707302e-01,-8.893446326255798340e-01
1.710000000000000000e+02,2.883010865662313016e+00,2.884928464889530808e+00,2.884928464889526367e+00
1.720000000000000000e+02,2.366446256632360079e+00,2.360485076904297319e+00,2.360485076904296875e+00
1.730000000000000000e+02,-1.028198932860074466e+00,-1.045144319534307531e+00,-1.045144319534301758e+00
1.740000000000000000e+02,6.354346937112020921e-02,6.551185250283131367e-02,6.551185250282287598e-02
1.750000000000000000e+02,-1.251148930650874957e+00,-1.253797054290772595e+00,-1.253797054290771484e+00
1.760000000000000000e+02,6.600851271023632227e-01,6.544180512428292573e-01,6.544180512428283691e-01
1.770000000000000000e+02,-1.518469606943371186e+00,-1.515423536300661400e+00,-1.515423536300659180e+00
1.780000000000000000e+02,-1.296067531727664646e+00,-1.279464125633243743e+00,-1.279464125633239746e+00
1.790000000000000000e+02,1.488889123560095173e+00,1.490157485008234861e+00,1.490157485008239746e+00
1.800000000000000000e+02,3.571580927088934931e+00,3.564991235733033115e+00,3.564991235733032227e+00
1.810000000000000000e+02,-1.761687775672084566e+00,-1.758689165115360442e+00,-1.758689165115356445e+00
1.820000000000000000e+02,2.196632124552161391e-01,2.220498025417172450e-01,2.220498025417327881e-01
1.830000000000000000e+02,-1.649938928344627742e+00,-1.645921111106878332e+00,-1.645921111106872559e+00
1.840000000000000000e+02,-1.210064754532957920e+00,-1.216744661331177424e+00,-1.216744661331176758e+00
1.850000000000000000e+02,6.135230912077191956e-01,6.037253141403184920e-01,6.037253141403198242e-01
1.860000000000000000e+02,-2.259079731340691843e+00,-2.251989603042606980e+00,-2.251989603042602539e+00
1.870000000000000000e+02,3.503107377023851221e+00,3.504057884216309926e+00,3.504057884216308594e+00
1.880000000000000000e+02,2.185128265428887051e+00,2.189735412597660691e+00,2.189735412597656250e+00
1.890000000000000000e+02,-3.434633882378259617e-01,-3.440926373004924432e-01,-3.440926373004913330e-01
1.900000000000000000e+02,5.045132039501484256e-01,5.112987756729128197e-01,5.112987756729125977e-01
1.910000000000000000e+02,7.603304743625931561e-01,7.548052072524964462e-01,7.548052072525024414e-01
1.920000000000000000e+02,-1.727177114545622949e+00,-1.749379038810729536e+00,-1.749379038810729980e+00
1.930000000000000000e+02,-2.110081256182150256e+00,-2.107345104217537290e+00,-2.107345104217529297e+00
1.940000000000000000e+02,-2.416295037794022438e+00,-2.416495561599728781e+00,-2.416495561599731445e+00
1.950000000000000000e+02,-4.070068024495954173e-01,-4.066620767116572721e-01,-4.066620767116546631e-01
1.960000000000000000e+02,-1.549693631560395524e+00,-1.558918595314023658e+00,-1.558918595314025879e+00
1.970000000000000000e+02,2.629384735127686668e+00,2.627845287323000711e+00,2.627845287322998047e+00
1.980000000000000000e+02,-1.227046475384386270e-01,-1.143228560686075923e-01,-1.143228560686111450e-01
1.990000000000000000e+02,6.529639135555886931e-01,6.480094194412211461e-01,6.480094194412231445e-01
2.000000000000000000e+02,2.247028427473070522e+00,2.249314308166504794e+00,2.249314308166503906e+00
2.010000000000000000e+02,-1.657607920323691086e+00,-1.643400192260745074e+00,-1.643400192260742188e+00
2.020000000000000000e+02,1.274156040063271433e+00,1.297894120216365632e+00,1.297894120216369629e+00
2.030000000000000000e+02,-8.342818114825367726e-01,-8.428066372871424461e-01,-8.428066372871398926e-01
2.040000000000000000e+02,-1.714577801200957152e-01,-1.654440462589350513e-01,-1.654440462589263916e-01
2.050000000000000000e+02,1.105984981273106627e+00,1.106497526168829237e+00,1.106497526168823242e+00
